location_name,street_address,city,state,zip_code,latitude,longitude,charging_details,amenities,superchargers_count,when_available,power_capacity,state_name,brand,updated
Haymakers,1700  W Jefferson St,Springfield,IL,62702,39.80794291,-89.68189331,"12 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",12, 24/7, 250kW,Illinois,Tesla superchargers,2024-07-27
Casey's,2100  East University Avenue,Urbana,IL,61802,40.11513862,-88.1827053,"8 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",8, 24/7, 250kW,Illinois,Tesla superchargers,2024-07-27
Mach 1 Convenience Store,701 Veterans Avenue,Vandalia,IL,62471,38.978076,-89.099183,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Illinois,Tesla superchargers,2024-07-27
Target,50 E North Ave,Villa Park,IL,60181,41.90650655,-87.97823471,"16 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",16, 24/7, 250kW,Illinois,Tesla superchargers,2024-07-27
Meijer,6650 Whitestown Parkway,Zionsville,IN,46077,39.950246,-86.34394,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",10, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
"Ramada Angola, 6 Autumns Food &amp; Spirits",3855  Indiana 127,Angola,IN,46703,41.699428,-85.000283,"6 Superchargers, available 24/7, up to 150kW","wifi, beverage, restrooms",6, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
Fresh Thyme Farmer’s Market,3600 West 3rd Street,Bloomington,IN,47404,39.165311,-86.579114,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
GetGo Café and Market,11545 Illinois St,Carmel,IN,46032,39.954505,-86.162684,"8 Superchargers, available 24/7, up to 250kW","beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,1424 W Carmel Dr,Carmel,IN,46032,39.972061,-86.151754,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
GetGo Cafe + Markety,3545 W 450 St,Columbus,IN,47201,39.1337,-85.96109,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
George N Craig Travel Plaza,2971 Moose Trail,Elkhart,IN,46514,41.73195,-86.00715,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Henry Schricker Travel Plaza,28054 2 County Road 4 West,Elkhart,IN,46514,41.73255,-86.00293,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Fair Oaks Farms,856 N. 600 E.,Fair Oaks,IN,47943,41.010997,-87.2763195,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",12, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Switch Parking Garage,9 Municipal Drive,Fishers,IN,46038-1615,39.958357,-86.015943,"10 Superchargers, available 24/7, up to 150kW","restaurants, restrooms",10, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
Meijer,5909  Illinois Road,Fort Wayne,IN,46804,41.07426,-85.21852,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,6309 Lima Road,Fort Wayne,IN,46818,41.138782,-85.163266,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
Mach 1,19920  Ruffian Way,Haubstadt,IN,47639,38.1603639,-87.551294,"8 Superchargers, available 24/7, up to 250kW","wifi, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Ernie Pyle Travel Plaza,126 Mile Post 1-90 West,Howe,IN,46746,41.7458146,-85.3270463,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Gene Stratton Plaza Eastbound,7065 North 475 East,Howe,IN,46746,41.74619868,-85.3308931,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Plaza Garage,109 South Capitol Avenue,Indianapolis,IN,46225,39.765569,-86.161096,"12 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, lodging, beverage, restrooms",12, 24/7, 72kW,Indiana,Tesla superchargers,2024-07-27
Target,1300  E 86th St,Indianapolis,IN,46240,39.913972,-86.139228,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,5325 E Southport Rd,Indianapolis,IN,46237,39.6660277,-86.0759681,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
La Quinta South Indianapolis,5120 Victory Drive,Indianapolis,IN,46203-5947,39.702061,-86.079885,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
Meijer,2301 East Markland Avenue,Kokomo,IN,46901,40.47528,-86.09943,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Lafayette,4901 State Rd. 26E,Lafayette,IN,47905-4611,40.416707,-86.814045,"16 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, restrooms",16, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,611 West Lincoln Highway,Merrillville,IN,46410,41.469493,-87.342973,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Michigan City,5150 Franklin Street,Michigan City,IN,46360,41.674106,-86.892464,"20 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,5020 Grape Rd,Mishawaka,IN,46545,41.705689,-86.18711,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
University Park Mall,6501 Grape Rd,Mishawaka,IN,46545-1007,41.71946,-86.187995,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",6, 24/7, 150kW,Indiana,Tesla superchargers,2024-07-27
John T. McCutcheon Travel Plaza,5100 Clem Road,Portage,IN,46368,41.58755,-87.21477,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
George Ade Travel Plaza Eastbound,Indiana Toll Road,Portage,IN,46368,41.58818,-87.21908,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,2507 Chester Boulevard,Richmond,IN,47375,39.868122,-84.887368,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Knute Rockne Travel Plaza,3 South Knute Rockne,Rolling Prairie,IN,46371,41.7052198,-86.623256,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Wilbur Shaw Travel Plaza,7 North Wilbur Shaw Plaza,Rolling Prairie,IN,46371,41.70761244,-86.6213546,"8 Superchargers, available 24/7, up to 250kW","wifi, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Culver's,1850 North Morristown Road,Shelbyville,IN,46176,39.553874,-85.775191,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
GetGo Cafe &amp; Market,6311 Crawfordsville Road,Speedway,IN,46224,39.80066288,-86.27004941,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Spiceland Truck and Auto Plaza,5809 S State Rd 3,Spiceland,IN,47385,39.847977,-85.41949,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Meijer,5600 E. New Margaret Dr.,Terre Haute,IN,47803-9226,39.441102,-87.331677,"16 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Casey's General Store,1020 E Second Street,Veedersburg,IN,47987,40.11304,-87.24752,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Huck's,1  Gateway Dr,Washington,IN,47501,38.652394,-87.133278,"8 Superchargers, available 24/7, up to 250kW",restrooms,8, 24/7, 250kW,Indiana,Tesla superchargers,2024-07-27
Kum &amp; Go,1430 1st Avenue North,Altoona,IA,50009,41.664267,-93.46529,"6 Superchargers, available 24/7, up to 150kW","restaurants, shopping, lodging, beverage, restrooms",6, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee Grocery Store,20  Wilson Ave Southwest,Cedar Rapids,IA,52404,41.955992,-91.658776,"8 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee,1914 8th Street,Coralville,IA,52241-1612,41.680636,-91.592889,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Metro Crossing Shopping Center,3815 Metro Drive,Council Bluffs,IA,51501-7753,41.221393,-95.835739,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee,4064 E 53rd St,Davenport,IA,52807-3033,41.576085,-90.513332,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Kum &amp; Go,5050  Northwest 2nd Street,Des Moines,IA,50313,41.65252,-93.62078,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
Dows Junction,904 Cardinal Lane,Dows,IA,50071-8004,42.674131,-93.461319,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee,400 South Locust Street,Dubuque,IA,52003,42.487653,-90.664336,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Kum &amp; Go,715 Lang Creek Ave,Grinnell,IA,50112,41.699888,-92.726323,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee Grocery Store,1103  North Dodge Street,Iowa City,IA,52245,41.67576,-91.52019,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee,1700 E Washington Street,Mt. Pleasant,IA,52641,40.96157315,-91.5282458,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
The Corn Crib,12 East Street,Shelby,IA,51570,41.501013,-95.451344,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Casey's General Store,4727 Southern Hills Drive,Sioux City,IA,51106,42.44050327,-96.3460162,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
World's Largest Truck Stop,755  West Iowa 80 Road,Walcott,IA,52773,41.618278,-90.782927,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee Waterloo,1422 Flammang Drive,Waterloo,IA,50702,42.45953237,-92.3286852,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Iowa,Tesla superchargers,2024-07-27
Hy-Vee,1725 Jordan Creek Parkway,West Des Moines,IA,50266-5876,41.599451,-93.806411,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Iowa,Tesla superchargers,2024-07-27
Oasis Travel Plaza,700 E Horton Ave.,Colby,KS,67701-3746,39.362374,-101.054082,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Towanda Service Area,7225 Kansas Turnpike,El Dorado,KS,67210,37.765733,-96.982574,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Emporia West Plaza,1312 Industrial Road,Emporia,KS,66801,38.414615,-96.21688,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",8, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Holiday Inn Express,2631 Enterprise Rd,Goodland,KS,67735-9700,39.325478,-101.725997,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, restrooms",6, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Applebee's,4101 Vine St,Hays,KS,67601-9482,38.900068,-99.319099,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",6, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Lawrence Service Area,209 Kansas Turnpike,Tonganoxie,KS,66086,39.018527,-95.137184,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Hy-Vee,6655 Martway Street,Mission,KS,66202,39.020433,-94.662274,"8 Superchargers, available 24/7, up to 72kW","restaurants, wifi, beverage, restrooms",8, 24/7, 72kW,Kansas,Tesla superchargers,2024-07-27
Sonic Drive-In,3689 US-40,Oakley,KS,67748,39.118767,-100.812275,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Hy-Vee,18101 West 119th Street,Olathe,KS,66061,38.911974,-94.794712,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Hy-Vee Grocery Store,9545 Antioch Rd,Overland Park,KS,66212,38.955432,-94.685578,"12 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",12, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Sonic Drive-In,1219 S Fossil St,Russell,KS,67665,38.867924,-98.853921,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Holiday Inn Express,755 W. Diamond Dr.,Salina,KS,67401-9544,38.877342,-97.618699,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",6, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Topeka Service Area,8000 I-70,Topeka,KS,66608,39.01937,-95.508092,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Kansas,Tesla superchargers,2024-07-27
Arby's,5930 SW Huntoon St,Topeka,KS,66604-2121,39.043757,-95.759847,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",8, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Applebee's,4760 S. Broadway Street,Wichita,KS,67216-1738,37.608894,-97.333795,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",6, 24/7, 150kW,Kansas,Tesla superchargers,2024-07-27
Huck’s Service Plaza,675 Western Kentucky Parkway,Beaver Dam,KY,42320,37.377274,-86.825882,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Meijer,1676 Westpark Drive,Bowling Green,KY,42104-4712,36.954502,-86.438378,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Kentucky,Tesla superchargers,2024-07-27
Subway,809  East Dixie Avenue,Elizabethtown,KY,42701,37.67163,-85.84511,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
"Florence, KY - Meijer",4990 Houston Road,Florence,KY,41042,39.0117433,-84.6406556,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",12, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
The Hampton Inn Hotel,62 Days Inn Dr.,Kuttawa,KY,42055-5954,37.07253,-88.125754,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Kentucky,Tesla superchargers,2024-07-27
Meijer Store #161,2155 Paul Jones Way,Lexington,KY,40509-2220,38.017969,-84.420451,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, restrooms",12, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Meijer,351  Meijer Way,Lexington,KY,40503,37.99561,-84.53276,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Tourist Information Center,140 Faith Assembly Church Road,London,KY,40741-9662,37.148596,-84.113148,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Sullivan University,2120 Gardiner Ln,Louisville,KY,40205,38.211925,-85.673534,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Kentucky,Tesla superchargers,2024-07-27
Meijer,9500 Preston Highway,Louisville,KY,40229,38.111976,-85.677018,"12 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Meijer,4100 Towne Center Drive,Louisville,KY,40241,38.29953,-85.55535,"8 Superchargers, available 24/7, up to 250kW",shopping,8, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Ideal Market,162 Hopkinsville Rd,Nortonville,KY,42442,37.193006,-87.448578,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
Buc-ee's,1013 Buc-ee's Blvd,Richmond,KY,40475,37.67210616,-84.30818449,"12 Superchargers, available 24/7, up to 250kW",restrooms,12, 24/7, 250kW,Kentucky,Tesla superchargers,2024-07-27
ROW DTLA,787 S. Alameda Street,Los Angeles,CA,90021,34.033632,-118.239789,"16 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Holiday Inn Alexandria Downtown,701 4th Street,Alexandria,LA,71301-8431,31.31214,-92.446881,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Louisiana,Tesla superchargers,2024-07-27
Acadian Village Shopping Center,3535 Perkins Road,Baton Rouge,LA,70808-2289,30.42370033,-91.15459277,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",6, 24/7, 150kW,Louisiana,Tesla superchargers,2024-07-27
Circle K,18149 Highland Rd,Baton Rouge,LA,70810,30.348898,-91.028117,"8 Superchargers, available 24/7, up to 250kW","beverage, restrooms",8, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Target,69320  LA-21,Covington,LA,70433,30.443562,-90.140745,"12 Superchargers, available 24/7, up to 250kW","shopping, beverage, restrooms",12, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Henry's Travel Plaza,14390 Highway 101,Iowa,LA,70647,30.241185,-92.928925,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Stirling Lafayette,3225 Louisiana Avenue,Lafayette,LA,70501,30.265659,-91.99363,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Prien Lake Shopping Center,1772 W Prien Lake Road,Lake Charles,LA,70601-8361,30.199129,-93.249328,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",6, 24/7, 150kW,Louisiana,Tesla superchargers,2024-07-27
Winn-Dixie,211 Veterans Memorial Boulevard,Metairie,LA,70005,30.002337,-90.124595,"24 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, restrooms",24, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
TownePlace Suites Monroe,4919 Pecanland Mall Drive,Monroe,LA,71203-7012,32.496421,-92.05555,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",8, 24/7, 150kW,Louisiana,Tesla superchargers,2024-07-27
Shop-A-Lott,5423  University Parkway,Natchitoches,LA,71457,31.72525,-93.16249,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
The Jung Hotel,1500 Canal St,New Orleans,LA,70112,29.957299,-90.076621,"12 Superchargers, available 24/7, up to 250kW","wifi, lodging, beverage, restrooms",12, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Eagle Plaza,1407 Eagle Dr,Ruston,LA,71270,32.542936,-92.625537,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",8, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Mall St. Vincent,1133 St. Vincent Ave.,Shreveport,LA,71104-4153,32.47821,-93.754309,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Louisiana,Tesla superchargers,2024-07-27
Fremaux Town Center,1303 Town Center Pkwy,Slidell,LA,70458-8041,30.2664,-89.759908,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Louisiana,Tesla superchargers,2024-07-27
Fairfield Inn &amp; Suites,2615 Ruth St,Sulphur,LA,70665,30.214463,-93.375353,"12 Superchargers, available 24/7, up to 250kW","lodging, restrooms",12, 24/7, 250kW,Louisiana,Tesla superchargers,2024-07-27
Marketplace at Augusta,197 Civic Center Drive,Augusta,ME,04330-8082,44.347987,-69.786659,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Baileyville Big Stop,32 Houlton Rd,Baileyville,ME,04694,45.12327,-67.347461,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Maine Coast Mall,225  High Street,Ellsworth,ME,04605,44.532524,-68.408756,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, beverage, restrooms",8, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
Irving Oil,211 Mayville Road,Bethel,ME,04217,44.424719,-70.797333,"6 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",6, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
Ruby Tuesday,5 Walton Dr,Brewer,ME,04412-1001,44.775941,-68.73412,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
65  Gray Road,,Falmouth,ME,04105,43.7333343,-70.29511238,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping",8, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
Hannaford Supermarket,131 Hannaford Drive,Farmington,ME,04938,44.651835,-70.150194,"8 Superchargers, available 24/7, up to 250kW","shopping, restrooms",8, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
L.L.Bean Flagship Store,95 Main Street,Freeport,ME,04032-1217,43.858683,-70.104221,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Trailside One Stop,407 Main Street,Jackman,ME,04945,45.624363,-70.251966,"4 Superchargers, available 24/7, up to 150kW","restaurants, beverage, restrooms",4, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Kennebunk Service Plaza Northbound,25.5 Mile Maine Turnpike,Kennebunk,ME,04043,43.409336,-70.559204,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Kennebunk Service Plaza Southbound,25.5 Mile Maine Turnpike,Kennebunk,ME,04043,43.411988,-70.559064,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Irving 24,1941 Medway Road,Medway,ME,04460,45.60945,-68.523589,"6 Superchargers, available 24/7, up to 150kW","beverage, restrooms",6, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Hannaford Supermarket,295 Forest Avenue,Portland,ME,04101,43.664171,-70.269935,"12 Superchargers, available 24/7, up to 150kW","restaurants, restrooms",12, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
532  Main Street,,Saco,ME,04072,43.5109252,-70.43447628,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping",8, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
Hannaford Supermarket,496 Madison Avenue,Skowhegan,ME,04976,44.779885,-69.726954,"8 Superchargers, available 24/7, up to 150kW","shopping, beverage, restrooms",8, 24/7, 150kW,Maine,Tesla superchargers,2024-07-27
Elm Plaza Shopping Mall,334 Main St,Waterville,ME,04901,44.568839,-69.639171,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",12, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
Wells Plaza,1517 Post Rd,Wells,ME,04090,43.3207506,-70.5805397,"8 Superchargers, available 24/7, up to 250kW",restaurants,8, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
Windham Mall,797 Roosevelt Trail,Windham,ME,04062,43.84157332,-70.4418255,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",8, 24/7, 250kW,Maine,Tesla superchargers,2024-07-27
